Year,Gender,CorHigher
2008,Male,56.1
2009,Male,56.2
2010,Male,58
2011,Male,58.9
2012,Male,56.9
2013,Male,56.3
2014,Male,53.6
2015,Male,57.6
2016,Male,51.5
2017,Male,53.5
2018,Male,54.6
2019,Male,54
2020,Male,64.5
2021,Male,67.9
2022,Male,63.5
2008,Female,69.4
2009,Female,69.2
2010,Female,71.8
2011,Female,72.6
2012,Female,71.5
2013,Female,71.3
2014,Female,69.4
2015,Female,72.8
2016,Female,67.6
2017,Female,70.9
2018,Female,70.1
2019,Female,70.3
2020,Female,78.4
2021,Female,79.9
2022,Female,76.6
